index,job title,salary estimate,job description,rating,company name,location,headquarters,size,founded,type of ownership,industry,sector,revenue,competitors
28.0,Data Scientist,$137K-$171K (Glassdoor est.),13b3ce8fa0e606dfa13a81ea66c2c7a39d404babbf92f5452a4cafa1618955f3,4.5,f89b39908a85e86176de74bd480d3ff4cbe436a05b72c1783007dad20809aeb0,"McLean, VA","Falls Church, VA",7.0,2005.0,2.0,Federal Agencies,Government,6.0,-1
29.0,Data Scientist,$137K-$171K (Glassdoor est.),bdc3a937ebbc358d3fc76f60c890fe0a174e6cbec56cf9d474e4988ed949099c,2.8,fea7b959dbb58e8f96988258fa73d3b68ba432eb952957aea0b1eea2d8690203,"San Francisco, CA","San Francisco, CA",7.0,2015.0,2.0,Enterprise Software & Network Solutions,Information Technology,13.0,-1
30.0,Data Scientist,$75K-$131K (Glassdoor est.),a0246e240a742c3ab54db617e0af1fe439badad2599c2375e95f09eafcceadd8,3.8,f4c5cc615d8f9db88616b30c7d78504407077cc8a1774b3a5c327fa55534d9b9,"Boston, MA","Boston, MA",3.0,1981.0,9.0,Consulting,Business Services,4.0,-1
31.0,Data Scientist / Machine Learning Expert,$75K-$131K (Glassdoor est.),672176c9870490a268562c878167170ea7495bb9541bfe588b87fe94606fedd4,3.9,76196d350bac42c856fc5e62efbb3a2eecd92f210c94cda3a1743166210f00f6,"Cambridge, MA","Basel, Switzerland",2.0,1996.0,3.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.0,-1
32.0,Data Scientist,$75K-$131K (Glassdoor est.),96bc884dae7797051700b5468345e4a448cb86174987b677fe1c75ed16b52f41,5.0,fdd98f4d112a727f381576f89a75686ed5b06cfe2fd0aabcfcc3d4ded12ddf1f,"Boston, MA","Boston, MA",1.0,2019.0,2.0,IT Services,Information Technology,13.0,-1
33.0,Senior Research Statistician- Data Scientist,$75K-$131K (Glassdoor est.),5dbc0be4378ae9f8c0cdef6c003a8e571465de7514ea2bf104062b2e9c72c3d3,4.8,bc05fe4be91a16728302924f52b42e11823dd114662e8a6a36f294f7c126b0ed,"Sheboygan, WI","Sheboygan, WI",3.0,1925.0,2.0,Insurance Carriers,Insurance,0.0,-1
34.0,Data Engineer,$75K-$131K (Glassdoor est.),7e49fff1dcbe03dc4f011cf622ee94245871cf93bed8132e262768e749dc5e05,3.6,ab81269757e4d1451023e0b7c8e69d340ab1db46bcbf928beeb63f32bed58f6c,United States,"Seattle, WA",4.0,2008.0,2.0,Enterprise Software & Network Solutions,Information Technology,9.0,"Puppet, Ansible, SaltStack"
35.0,Associate Data Scientist,$75K-$131K (Glassdoor est.),a769955e65c2e353defd65b1bbbb68c1a8da031b6e074ac869ecc0ffc2eeda18,3.3,174d918ee62887255516de3bd54115a045da859bf93172a1daa3597771f725a3,"Bothell, WA","Bellevue, WA",3.0,1999.0,2.0,Utilities,"Oil, Gas, Energy & Utilities",5.0,-1
36.0,Business Intelligence Analyst,$75K-$131K (Glassdoor est.),ab3000a4f494f7dfe33bd69a3d1c8aff341e813e96051340ffbd3c259223bef0,2.7,e49744d8cd82b7f59c7e0e5255e7ad15695fe5307da87a230f7a593078045c69,"Lincoln, NE","Lincoln, NE",3.0,1978.0,2.0,Enterprise Software & Network Solutions,Information Technology,9.0,-1
37.0,Data Scientist,$75K-$131K (Glassdoor est.),fc8eb0c2520c8f942ce3ce1d85346f7f4caf34f9aeae841c846576cdbd8a02a6,2.7,c433615873d13998fac24ccc3cc38fdd35736adb9788c2e12376846107a7b8bb,"Overland Park, KS","New York, NY",6.0,2000.0,2.0,Health Care Services & Hospitals,Health Care,13.0,"Enlivant, Sunrise Senior Living, Brookdale Senior Living"
38.0,Data Scientist,$75K-$131K (Glassdoor est.),a36fa4acea573287fee2f5ecfec38c60b2a815b76cba8fb3facea9c4eb6fc932,2.2,0931ab63c321ab4ea38fbb9fc758e4f78a286236f25b008cd25eb057581ec41e,"Chantilly, VA","Chantilly, VA",1.0,2000.0,2.0,Enterprise Software & Network Solutions,Information Technology,1.0,-1
39.0,Senior Analyst/Data Scientist,$75K-$131K (Glassdoor est.),a9b1c1ecb7feabcd94fc27989d8fef6aa19bc14b37750b00f4c1120ba397ceba,3.4,0fe7616e67bfb3487ce09bd11fcfe4df7d1718beabc73458d9c2a78cec057fcf,"Santa Monica, CA","Santa Monica, CA",6.0,1966.0,2.0,Internet,Information Technology,4.0,"TrueCar, Cars.com, Kelley Blue Book"
40.0,Data Analyst,$75K-$131K (Glassdoor est.),52add4f8fa9d8209d65af8dc49fc7ba3a6e6236f2e456f7febc0325f7e373293,3.1,7be4bde9a051c47b50688c2558431b42cb59c6476bd69c8c6d2ed3001e8b164e,"Boston, MA","Boston, MA",6.0,1973.0,2.0,Investment Banking & Asset Management,Finance,4.0,-1
41.0,Machine Learning Engineer,$75K-$131K (Glassdoor est.),5394922ab8c87fd4c4cc2f21fa0afa0ac3d6407110f841c86415a087da846bac,3.4,c7c7068b107a15452db7d042c72063d831f58593c3dae1be29445b31ec4561b4,"Portsmouth, NH","Boston, MA",2.0,1912.0,2.0,Insurance Carriers,Insurance,3.0,"Travelers, Allstate, State Farm"
42.0,Data Analyst I,$75K-$131K (Glassdoor est.),53bedebdca1eac6aab023551d4dbfb2c85ce405c99c7d0706262ee6be9c9427e,2.6,1646e78f1cd35d916bdeb51ab7dcbb6b99de0d5e420165dbf277c5624ec8c16b,"Ewing, NJ","Ewing, NJ",3.0,1958.0,2.0,-1,-1,4.0,-1
43.0,Scientist - Molecular Biology,$75K-$131K (Glassdoor est.),db39a9e500e21425fafaa1c247ef5eb839c79b950446dcf137816867f1cea1c8,5.0,561a191e4ec6d335420d82130278afe58c1f6247cbf7d410793119bbd289d075,"South San Francisco, CA","South San Francisco, CA",7.0,2019.0,2.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,13.0,-1
44.0,Data Scientist,$75K-$131K (Glassdoor est.),1fde2347d7cac04433bfefee5e6839a88472b52ffdb1eae4f3c04a4cf1b1cc9d,4.2,237d6d1f791df7d62c1a6490bdaee302cee920b2729b587eb069b3d8d76938d5,"Palo Alto, CA","Palo Alto, CA",7.0,2013.0,2.0,Enterprise Software & Network Solutions,Information Technology,2.0,-1
45.0,"Computational Scientist, Machine Learning",$75K-$131K (Glassdoor est.),71e55969c221cb3c3a7f37e55ed849a1a5def59e39073c3b2f59878726d759e9,4.1,5d6d083845268ecf43c87bede63eea68dc1fb1aa5d4a981ad898f134afd40d55,"Cambridge, MA","New York, NY",2.0,1849.0,3.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.0,-1
46.0,Senior Data Scientist,$75K-$131K (Glassdoor est.),7d1dc21f7ca89b8bf1b90f09c18e8a3818267191f44dd5bf1692f3d98c9c8482,4.8,18a2b3dcadc2c9ae7607bb2326319d3d8a8d211740429f47bea8f3945a31f212,"Boston, MA","Boston, MA",4.0,2012.0,2.0,Computer Hardware & Software,Information Technology,13.0,-1
47.0,Data Scientist,$75K-$131K (Glassdoor est.),6e50b48aab85bff128877b90b823b6fe30ba591758ed27708369f548bdd89a4b,3.3,8cfc5519be8aee2e5826619835066d971d8250bd408784600818e96700877526,"Bellevue, WA","Bellevue, WA",6.0,2000.0,2.0,Investment Banking & Asset Management,Finance,13.0,-1
48.0,Data Scientist,$75K-$131K (Glassdoor est.),dccde4fe1884406882c415e17773512a9cb6f374ea7989d9834f9d769be83fd4,3.7,79aa693c6a80f5ee8f5e4c9c94e889cd02c572c402d199e3af2bc0b87965437c,"San Francisco, CA","Singapore, Singapore",3.0,2016.0,5.0,Federal Agencies,Government,13.0,-1
49.0,Data Scientist,$75K-$131K (Glassdoor est.),25f7594a4d205316859077a68f84ab56827f5e37d5d935844ea4b87f94bfd684,4.3,a7007a0607445cc74a46ed190847ecd43a03aa3d6f500a7a74cf1bec837e465e,"Cambridge, MA","Cambridge, MA",4.0,1999.0,2.0,Enterprise Software & Network Solutions,Information Technology,13.0,-1
50.0,Data Analyst,$75K-$131K (Glassdoor est.),53b71b6aee8701f92c681ae35c6db8dbafe3e09ecf6e87317ac08d19cb5d40f7,4.8,78af90ed95cf27bba79b78aace15d6f4a440039c362a11488f4d2842f440b7b6,"San Francisco, CA","San Francisco, CA",1.0,2014.0,2.0,Advertising & Marketing,Business Services,2.0,-1
51.0,Data Scientist,$75K-$131K (Glassdoor est.),d95551ad78c2dfa44291679cd06cbd3ef5d6a86ed780c2c024f673acedabfc91,3.7,42ebeb67fa72feea86e452eed15c0af2d70c6626ffd621af166094c6aafc0806,"Cambridge, MA","OSAKA, Japan",2.0,1781.0,3.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.0,"Novartis, Baxter, Pfizer"
52.0,Data Scientist,$75K-$131K (Glassdoor est.),5b86ee91fd304fec5ed00c18eb53f72d07ff2c073e92fc035fb06b5a44c9c45e,4.0,54df043db30d06f0676bda6c5a93af7c05e2af4e0438a6a19118618819590997,"San Francisco, CA","Santa Clara, CA",6.0,2012.0,2.0,Enterprise Software & Network Solutions,Information Technology,13.0,"Skyhigh Networks, Zscaler, NortonLifeLock"
53.0,Jr. Data Engineer,$75K-$131K (Glassdoor est.),ecdbb168edb984b027c15b126d89b281c0b04fee7fb91801c3b4e1728486073c,4.8,edd7c744dcbc55c40882c9b833fb5b1bcc8476b91438da945f387d447e5f57ec,Remote,"Vienna, VA",7.0,2003.0,2.0,IT Services,Information Technology,2.0,-1
54.0,E-Commerce Data Analyst,$75K-$131K (Glassdoor est.),3e8e3b949956cbae207c9540453014742b7f61871f11f36e9a6259b0ca8c3a47,3.5,c92edd50e232dd5431ab437bf7f58904465ddde770ca39816c9c013eeb7755c4,"New Orleans, LA","New Orleans, LA",7.0,1999.0,2.0,Enterprise Software & Network Solutions,Information Technology,13.0,-1
55.0,Data Analytics Engineer,$75K-$131K (Glassdoor est.),400676eb3146910ef1be8801c199dbfe01f0d4126d1b359573522803d12b1f8a,3.7,b15cc63c7023bc953d73407daee70009294e1c625b4447c5b1d7cf79729de9ba,"Akron, OH","Akron, OH",5.0,1926.0,7.0,Health Care Services & Hospitals,Health Care,4.0,-1
56.0,Senior Data Scientist,$75K-$131K (Glassdoor est.),6c4e5685acfec79e76805ec5f920341fb1a1d67faf8483007b03c52e87d53535,3.5,7ac9a265cf2af8ab3b88104a26b95e4a07d5b88fb39f9d3c075a3c9235b00ba6,"Saint Louis, MO","Saint Louis, MO",4.0,2012.0,2.0,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1.0,-1
57.0,Product Data Scientist - Ads Data Science,$75K-$131K (Glassdoor est.),267747a18a8e849d0053687af685a94e44602096b02d17abe56065e0b2b88f6e,4.1,5d57ed7ed5701c2056fad68f5022d047a23bf73decb2b9d69ea50e2a47a5e2dd,"San Francisco, CA","San Francisco, CA",3.0,2006.0,3.0,Internet,Information Technology,5.0,"Facebook, Google, Pinterest"
